date	Correct	Wrong	Benign	Mal	New_fam_cnt	New_fam	Unique_fam
2014-09	375	25	186	214	8	adend,hyspu,xinyinhe,nqshield,lime,small,ransomware	smsreg,tekwon,infosteal,nqshield,smforw,smssend,benign,gidix,smscmd,domob,xinyinhe,exploit,skymobi,kyview,minimob,adend,smsagent,fakeinst,dowgin,systemmonitor,adware,utchi,fakeangry,gappusin,packed,feejar,kuguo,airpush,gamecheater,adwo,smsspy,nandrobox,dials,unknown,execdownload,cimsci,opfake,admogo,androrat,youmi,smsthief,lime,fobus,hyspu,mmarketpay,umpay,helir,wiyun,sms,rooter,secapk,adflex,small,ransomware,simplocker,qysly
2014-10	364	36	181	219	3	spyoo,trackphone,callpay	skymobi,smsagent,adware,systemmonitor,tekwon,smsreg,benign,secapk,spyware,airpush,exploit,smforw,fakeinst,dowgin,youmi,execdownload,smssend,nqshield,utchi,domob,battpatch,kyview,feejar,minimob,gappusin,mseg,adwo,dials,infosteal,fakebank,zdtad,cimsci,trackphone,hipposms,wroba,kuguo,umpay,cova,rooter,smsthief,xinyinhe,netspoof,fobus,spyoo,clicks,admogo,unknown,svpeng,callpay,packed
2014-11	372	28	150	250	8	joynow,fadeb,smslink,linux,dalik,stalk	benign,smsreg,fakeinst,dowgin,torec,spyware,smscmd,infosteal,wroba,linux,packed,exploit,gappusin,clicks,skymobi,smforw,adware,execdownload,admogo,utchi,airpush,feejar,kuguo,youmi,systemmonitor,dalik,domob,mseg,nqshield,smslink,cimsci,zdtad,androrat,opfake,fakebank,joynow,kingroot,stalk,umpay,fobus,sms,smssend,spyoo,fadeb,unknown,secapk,apptrack
2014-12	371	29	115	285	7	shedun,cnzz,smsbot,mgyun,spyagent,mobifun,triada	smsreg,minimob,airpush,appoffer,sms,secapk,skymobi,tekwon,youmi,benign,unknown,dowgin,adware,nqshield,qysly,smsagent,umpay,fakeinst,smsbot,adwo,execdownload,utchi,kuguo,spyagent,spyware,gappusin,cnzz,domob,wroba,infosteal,packed,vmvol,systemmonitor,zdtad,mgyun,rooter,boqx,uupay,cynos,fobus,triada,virus,exploit,opfake,smssend,smsspy,admogo,shedun,mobifun
2015-01	374	26	105	295	14	mobidash,kemoge,mobisec,gorpo,mobtes,moplus,aulrin	benign,hyspu,smsreg,youmi,mobtes,kemoge,torec,commplat,execdownload,dowgin,adware,moplus,unknown,smssend,exploit,igexin,skymobi,secapk,oveead,gappusin,douwan,systemmonitor,utchi,mobisec,packed,kyview,feejar,kuguo,wroba,domob,airpush,mobidash,admogo,fakebank,adwo,cimsci,zdtad,mgyun,smsagent,joye,rooter,fakeinst,sms,aulrin,umpay,gorpo,nqshield
2015-02	379	21	89	311	3	smspay,vnapstore	smsreg,dowgin,mobtes,secapk,benign,torec,infosteal,execdownload,opfake,triada,smssend,kuguo,exploit,skymobi,youmi,airpush,adware,umpay,tekwon,admogo,gappusin,adwo,fakeinst,systemmonitor,mgyun,mobisec,packed,domob,smscmd,smspay,apptrack,unknown,nandrobox,appoffer,cimsci,plankton,zdtad,nqshield,windows,douwan,uupay,dianjin,joye,smforw,vnapstore,feejar
2015-03	380	20	84	316	10	dingwe,tediss,qumi,autoins,cooee,ramnit,bips,symkob,drosel	smsreg,skymobi,secapk,packed,execdownload,domob,benign,tekwon,adware,virus,apptrack,drosel,igexin,fakeinst,gappusin,exploit,dingwe,airpush,kuguo,douwan,unknown,ramnit,youmi,windows,admogo,smscmd,dowgin,smssend,oveead,cimsci,adwo,symkob,wroba,infosteal,cooee,minimob,smforw,systemmonitor,autoins,androrat,tediss,triada,smsspy,vnapstore,rooter,bips,uupay,dianjin,smspay,nqshield,spyoo,qumi
2015-04	385	15	81	319	2	dqshell,boogr	smsreg,benign,adware,skymobi,secapk,tekwon,airpush,unknown,bips,infosteal,drosel,smssend,fakeinst,boogr,exploit,youmi,feejar,domob,gappusin,smspay,execdownload,xinyinhe,dials,wroba,cooee,mobtes,sms,nqshield,cimsci,zdtad,dianjin,joynow,simplocker,spyware,igexin,viser,vnapstore,kuguo,apptrack,dqshell,systemmonitor,spyagent,smsspy,opfake,triada,minimob
2015-05	375	25	111	289	9	wapron,babyjc,coudw,fogod,reaper,kalfere,nineap	packed,secapk,smsreg,smssend,nineap,exploit,admogo,minimob,benign,adware,joynow,skymobi,smsthief,systemmonitor,reaper,execdownload,mgyun,smsagent,youmi,feejar,xinyinhe,unknown,nqshield,gappusin,qysly,wapron,airpush,domob,fogod,autoins,wroba,fakebank,infosteal,sms,kuguo,cimsci,smsspy,zdtad,dqshell,coudw,androrat,dowgin,babyjc,apptrack,vnapstore,rooter,kalfere,utchi,tool,jsmshider,opfake,dianle,kyview,adwo,tekwon
2015-06	348	52	112	288	4	levida,wintertiger,smaps,vitan	smsagent,smsreg,infosteal,smssend,adware,benign,smaps,secapk,skymobi,execdownload,airpush,apptrack,systemmonitor,douwan,domob,mgyun,youmi,feejar,exploit,unknown,kyview,minimob,vitan,gedma,dowgin,wroba,gappusin,ramnit,levida,smsspy,vidro,autoins,nqshield,opfake,uupay,umpay,cimsci,rooter,vnapstore,wintertiger,spyoo,dials,smforw,adwo,smspay,vietsms,zdtad,smsthief,kuguo,triada
2015-07	370	30	128	272	10	khan,freespy,leech,server,morcut,xynyin,hiddenapp	adware,smsreg,smspay,benign,unknown,opfake,smssend,execdownload,appoffer,fakeinst,airpush,skymobi,smforw,oveead,zdtad,utchi,smsthief,smsbot,server,domob,kyview,xynyin,kalfere,youmi,smsspy,dowgin,reaper,gappusin,spyware,infosteal,rooter,fakeangry,admogo,levida,minimob,dials,wooboo,ramnit,virus,androrat,ganlet,simplocker,smsagent,secapk,leech,tediss,autoins,morcut,mobidash,tekwon,freespy,khan,hiddenapp
2015-08	362	38	179	221	15	sprovider,celular,yeahmobi,sivu,oimobi,premiumtext,lockscreen,cyfin,ztorg	smssend,skymobi,smsagent,execdownload,yeahmobi,infosteal,sms,opfake,torec,benign,smsreg,umpay,adware,exploit,minimob,ztorg,airpush,shedun,fakeinst,smforw,qysly,oveead,domob,smaps,rootnik,kuguo,linux,unknown,celular,cyfin,kalfere,secapk,premiumtext,youmi,fakeangry,admogo,sprovider,zdtad,rooter,uupay,kemoge,gappusin,systemmonitor,dials,autoins,smsspy,oimobi,dowgin,bips,levida,smsthief,smskey,lockscreen,fobus,ransomware,slocker,sivu
2015-09	379	21	148	252	7	plagsh,webapp,acecard,coolreaper,guerrilla,fituw	smssend,infosteal,smsagent,execdownload,opfake,acecard,torec,apptrack,dnotua,smsspy,benign,adware,minimob,smspay,smsreg,youmi,skymobi,fakeinst,systemmonitor,airpush,server,unknown,dowgin,smforw,rootnik,smaps,kuguo,sivu,linux,ztorg,admogo,triada,autoins,levida,webapp,kalfere,dials,shedun,oimobi,dianle,callpay,exploit,sprovider,fituw,umpay,ramnit,secapk,zdtad,kyview,kemoge,plagsh,smsthief,fadeb,guerrilla,rooter,boogr,ewind,gappusin,marcher,fobus,igexin,coolreaper,tekwon
2015-10	387	13	162	238	4	avpass,nativead,ventica,pornclk	benign,umpay,opfake,infosteal,torec,smssend,execdownload,smsreg,leech,linux,triada,smspay,skymobi,fakeinst,autoins,sprovider,rootnik,gorpo,unknown,gappusin,smforw,tekwon,spyware,appoffer,kuguo,secapk,smaps,feejar,slocker,ztorg,adware,dials,lockscreen,server,domob,ramnit,youmi,pornclk,kyview,gamex,ventica,webapp,nativead,admogo,smsspy,dowgin,avpass,svpeng,airpush,zdtad,guerrilla,spyoo,smsthief,levida
2015-11	389	11	284	116	8	dilidi,fusob,loki	infosteal,uupay,benign,smssend,boogr,ransomware,unknown,execdownload,smsreg,adware,fusob,triada,dnotua,dowgin,rootnik,clicks,lockscreen,server,skymobi,linux,exploit,gappusin,secapk,slocker,dilidi,rooter,loki,kuguo,qysly,levida,guerrilla,opfake,leech,packed,wintertiger,smskey
2015-12	388	12	278	122	1	norex	infosteal,smsspy,benign,unknown,gappusin,triada,minimob,admogo,execdownload,ztorg,adware,server,igexin,acecard,smsreg,norex,fakeinst,tekwon,levida,secapk,uten,exploit,systemmonitor,skymobi,apptrack,sprovider,fakeapp,linux,autoins,domob,callpay,youmi,fakeangry,smspay,kalfere,cimsci,bips,ransomware,airpush,tool,packed,nativead,kuguo,guerrilla
2016-01	385	15	168	232	7	hahad,syringe,hiddad,kyhub,smsdel	smssend,unknown,benign,ztorg,smspay,triada,execdownload,hiddad,apptrack,syringe,smsreg,adflex,dianle,admogo,feejar,airpush,drosel,gappusin,fakeinst,vnapstore,youmi,autoins,exploit,secapk,webapp,tekwon,systemmonitor,dowgin,yeahmobi,guerrilla,adware,krysanec,hahad,mgyun,fakeapp,linux,packed,plankton,callpay,rooter,umpay,kyhub,uupay,adwo,infosteal,kyview,skymobi,kalfere,smsthief,minimob,smsagent,levida,ewind,mobtes,tool,smsdel
